County,Event_Type,Year,Month,Time_Index,Predicted_Event_Count,Predicted_Average_Magnitude
ANDERSON,HAIL,2025,1,841,0.6,1.18
ANDERSON,HAIL,2025,2,842,0.6,1.18
ANDERSON,HAIL,2025,3,843,0.6,1.18
ANDERSON,HAIL,2025,4,844,0.6,1.18
ANDERSON,HAIL,2025,5,845,0.6,1.18
ANDERSON,HAIL,2025,6,846,0.6,1.18
ANDERSON,HAIL,2025,7,847,0.6,1.18
ANDERSON,HAIL,2025,8,848,0.6,1.18
ANDERSON,HAIL,2025,9,849,0.61,1.18
ANDERSON,HAIL,2025,10,850,0.61,1.18
ANDERSON,HAIL,2025,11,851,0.61,1.18
ANDERSON,HAIL,2025,12,852,0.61,1.18
ANDERSON,HAIL,2026,1,853,0.61,1.18
ANDERSON,HAIL,2026,2,854,0.61,1.18
ANDERSON,HAIL,2026,3,855,0.61,1.18
ANDERSON,HAIL,2026,4,856,0.61,1.18
ANDERSON,HAIL,2026,5,857,0.61,1.18
ANDERSON,HAIL,2026,6,858,0.61,1.18
ANDERSON,HAIL,2026,7,859,0.61,1.18
ANDERSON,HAIL,2026,8,860,0.61,1.18
ANDERSON,HAIL,2026,9,861,0.61,1.18
ANDERSON,HAIL,2026,10,862,0.62,1.18
ANDERSON,HAIL,2026,11,863,0.62,1.18
ANDERSON,HAIL,2026,12,864,0.62,1.18
ANDERSON,HAIL,2027,1,865,0.62,1.18
ANDERSON,HAIL,2027,2,866,0.62,1.18
ANDERSON,HAIL,2027,3,867,0.62,1.18
ANDERSON,HAIL,2027,4,868,0.62,1.18
ANDERSON,HAIL,2027,5,869,0.62,1.18
ANDERSON,HAIL,2027,6,870,0.62,1.18
ANDERSON,HAIL,2027,7,871,0.62,1.18
ANDERSON,HAIL,2027,8,872,0.62,1.18
ANDERSON,HAIL,2027,9,873,0.62,1.18
ANDERSON,HAIL,2027,10,874,0.63,1.18
ANDERSON,HAIL,2027,11,875,0.63,1.18
