County,Event_Type,Year,Month,Time_Index,Predicted_Event_Count,Predicted_Average_Magnitude
ANDERSON,THUNDERSTORM WIND,2025,1,841,0.55,39.71
ANDERSON,THUNDERSTORM WIND,2025,2,842,0.56,39.72
ANDERSON,THUNDERSTORM WIND,2025,3,843,0.56,39.73
ANDERSON,THUNDERSTORM WIND,2025,4,844,0.56,39.74
ANDERSON,THUNDERSTORM WIND,2025,5,845,0.56,39.74
ANDERSON,THUNDERSTORM WIND,2025,6,846,0.56,39.75
ANDERSON,THUNDERSTORM WIND,2025,7,847,0.56,39.76
ANDERSON,THUNDERSTORM WIND,2025,8,848,0.56,39.77
ANDERSON,THUNDERSTORM WIND,2025,9,849,0.56,39.77
ANDERSON,THUNDERSTORM WIND,2025,10,850,0.56,39.78
ANDERSON,THUNDERSTORM WIND,2025,11,851,0.56,39.79
ANDERSON,THUNDERSTORM WIND,2025,12,852,0.56,39.8
ANDERSON,THUNDERSTORM WIND,2026,1,853,0.56,39.8
ANDERSON,THUNDERSTORM WIND,2026,2,854,0.56,39.81
ANDERSON,THUNDERSTORM WIND,2026,3,855,0.56,39.82
ANDERSON,THUNDERSTORM WIND,2026,4,856,0.56,39.83
ANDERSON,THUNDERSTORM WIND,2026,5,857,0.57,39.83
ANDERSON,THUNDERSTORM WIND,2026,6,858,0.57,39.84
ANDERSON,THUNDERSTORM WIND,2026,7,859,0.57,39.85
ANDERSON,THUNDERSTORM WIND,2026,8,860,0.57,39.86
ANDERSON,THUNDERSTORM WIND,2026,9,861,0.57,39.86
ANDERSON,THUNDERSTORM WIND,2026,10,862,0.57,39.87
ANDERSON,THUNDERSTORM WIND,2026,11,863,0.57,39.88
ANDERSON,THUNDERSTORM WIND,2026,12,864,0.57,39.89
ANDERSON,THUNDERSTORM WIND,2027,1,865,0.57,39.89
ANDERSON,THUNDERSTORM WIND,2027,2,866,0.57,39.9
ANDERSON,THUNDERSTORM WIND,2027,3,867,0.57,39.91
ANDERSON,THUNDERSTORM WIND,2027,4,868,0.57,39.92
ANDERSON,THUNDERSTORM WIND,2027,5,869,0.57,39.92
ANDERSON,THUNDERSTORM WIND,2027,6,870,0.57,39.93
ANDERSON,THUNDERSTORM WIND,2027,7,871,0.57,39.94
ANDERSON,THUNDERSTORM WIND,2027,8,872,0.58,39.95
ANDERSON,THUNDERSTORM WIND,2027,9,873,0.58,39.95
ANDERSON,THUNDERSTORM WIND,2027,10,874,0.58,39.96
ANDERSON,THUNDERSTORM WIND,2027,11,875,0.58,39.97
ANDERSON,THUNDERSTORM WIND,2027,12,876,0.58,39.98
ANDERSON,THUNDERSTORM WIND,2028,1,877,0.58,39.98
ANDERSON,THUNDERSTORM WIND,2028,2,878,0.58,39.99
ANDERSON,THUNDERSTORM WIND,2028,3,879,0.58,40.0
ANDERSON,THUNDERSTORM WIND,2028,4,880,0.58,40.01
ANDERSON,THUNDERSTORM WIND,2028,5,881,0.58,40.01
ANDERSON,THUNDERSTORM WIND,2028,6,882,0.58,40.02
ANDERSON,THUNDERSTORM WIND,2028,7,883,0.58,40.03
ANDERSON,THUNDERSTORM WIND,2028,8,884,0.58,40.04
ANDERSON,THUNDERSTORM WIND,2028,9,885,0.58,40.04
ANDERSON,THUNDERSTORM WIND,2028,10,886,0.58,40.05
ANDERSON,THUNDERSTORM WIND,2028,11,887,0.59,40.06
ANDERSON,THUNDERSTORM WIND,2028,12,888,0.59,40.07
ANDERSON,THUNDERSTORM WIND,2029,1,889,0.59,40.07
ANDERSON,THUNDERSTORM WIND,2029,2,890,0.59,40.08
ANDERSON,THUNDERSTORM WIND,2029,3,891,0.59,40.09
ANDERSON,THUNDERSTORM WIND,2029,4,892,0.59,40.1
